Order_ID,Order_Date,Customer_ID,Customer_Segment,Gender,Age,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Payment_Method,Sales,Profit
1001,2022-01-01,302,Corporate,Male,39,West,Clothing,Product B,3,4711,0.11,Net Banking,12578.37,1912.0862968443835
1002,2022-01-02,470,Home Office,Female,43,South,Furniture,Product B,3,2395,0.22,Card,5604.3,553.9627689513626
1003,2022-01-03,306,Corporate,Male,60,North,Clothing,Product A,3,1584,0.05,UPI,4514.4,528.283990430156
1004,2022-01-04,271,Corporate,Male,56,East,Furniture,Product C,5,4603,0.18,Cash,18872.300000000003,4201.179284640426
1005,2022-01-05,388,Home Office,Male,44,West,Electronics,Product B,3,4154,0.21,Cash,9844.98,1527.0541983271214
1006,2022-01-06,220,Corporate,Male,46,West,Furniture,Product B,4,3099,0.1,Card,11156.4,1736.7215240061219
1007,2022-01-07,302,Corporate,Female,64,West,Clothing,Product C,4,260,0.21,Card,821.6,199.06833287126202
1008,2022-01-08,321,Corporate,Male,55,South,Clothing,Product C,5,4147,0.27,UPI,15136.55,1728.2349681176208
1009,2022-01-09,414,Corporate,Male,37,East,Clothing,Product A,2,2490,0.14,Cash,4282.8,624.895746120991
1010,2022-01-10,287,Home Office,Male,44,South,Clothing,Product B,1,672,0.11,Net Banking,598.08,126.99793370497528
1011,2022-01-11,299,Corporate,Male,58,East,Electronics,Product B,2,1158,0.08,Net Banking,2130.7200000000003,429.9419013897145
1012,2022-01-12,351,Corporate,Male,37,North,Furniture,Product A,2,732,0.18,Card,1200.48,123.84137800738658
1013,2022-01-13,330,Home Office,Male,61,South,Electronics,Product C,2,693,0.26,Net Banking,1025.64,82.27500441319759
1014,2022-01-14,349,Consumer,Male,36,South,Electronics,Product A,2,281,0.1,UPI,505.8,96.17327492711419
1015,2022-01-15,457,Home Office,Male,37,North,Electronics,Product C,1,3170,0.12,Net Banking,2789.6,283.2315341642701
1016,2022-01-16,493,Consumer,Female,52,East,Clothing,Product A,3,211,0.12,Card,557.04,130.64546870422865
1017,2022-01-17,391,Home Office,Male,64,West,Clothing,Product C,2,4744,0.17,UPI,7875.04,597.3181520145831
1018,2022-01-18,476,Home Office,Female,19,North,Clothing,Product A,4,961,0.07,Cash,3574.9199999999996,406.3362750531631
1019,2022-01-19,360,Corporate,Male,47,West,Furniture,Product C,5,3385,0.25,UPI,12693.75,773.7786231306249
1020,2022-01-20,221,Consumer,Male,51,West,Clothing,Product C,5,225,0.09,Card,1023.75,195.18926158027668
1021,2022-01-21,452,Corporate,Male,39,North,Furniture,Product C,4,2006,0.21,Card,6338.96,1446.8836561937508
1022,2022-01-22,435,Consumer,Male,20,East,Clothing,Product C,2,4357,0.15,Net Banking,7406.9,1312.316807297607
1023,2022-01-23,248,Home Office,Female,23,West,Clothing,Product C,1,4524,0.18,Net Banking,3709.6800000000003,881.2367213165282
1024,2022-01-24,258,Home Office,Male,32,North,Electronics,Product B,3,4902,0.05,Cash,13970.699999999999,1057.59310648937
1025,2022-01-25,369,Consumer,Male,44,South,Electronics,Product C,5,3859,0.22,Cash,15050.1,1016.585875739269
1026,2022-01-26,387,Corporate,Female,27,South,Electronics,Product B,3,1725,0.06,Card,4864.5,1058.916746152735
1027,2022-01-27,470,Corporate,Female,26,South,Furniture,Product C,1,960,0.03,Card,931.1999999999999,205.89040130398317
1028,2022-01-28,389,Corporate,Male,50,North,Furniture,Product B,5,794,0.16,Card,3334.7999999999997,721.0101229993702
1029,2022-01-29,374,Corporate,Female,49,South,Clothing,Product B,3,1255,0.21,Cash,2974.35,623.9977515702493
1030,2022-01-30,250,Home Office,Female,23,West,Furniture,Product A,1,2054,0.02,Card,2012.92,246.4733436678816
1031,2022-01-31,254,Home Office,Female,58,South,Clothing,Product C,3,3283,0.02,Cash,9652.02,902.3906760131493
1032,2022-02-01,443,Home Office,Male,53,South,Furniture,Product A,2,4116,0.24,Card,6256.32,1474.9950332785147
1033,2022-02-02,330,Home Office,Male,19,West,Furniture,Product A,1,3875,0.24,UPI,2945.0,328.0731076976687
1034,2022-02-03,334,Home Office,Male,46,South,Furniture,Product C,3,2248,0.07,UPI,6271.919999999999,813.3522219836473
1035,2022-02-04,220,Corporate,Female,21,West,Electronics,Product A,2,1658,0.18,Card,2719.1200000000003,516.392951564825
1036,2022-02-05,366,Corporate,Male,18,South,Furniture,Product C,2,1419,0.13,UPI,2469.06,268.315752573991
1037,2022-02-06,473,Corporate,Female,36,West,Electronics,Product A,1,4428,0.19,Cash,3586.6800000000003,766.9255966136825
1038,2022-02-07,288,Corporate,Male,43,South,Electronics,Product C,4,4381,0.26,Net Banking,12967.76,830.0264381894536
1039,2022-02-08,213,Home Office,Male,42,West,Furniture,Product C,5,1699,0.02,UPI,8325.1,1733.5899648559239
1040,2022-02-09,441,Home Office,Female,27,North,Clothing,Product C,1,2030,0.23,Net Banking,1563.1000000000001,266.305760476778
1041,2022-02-10,464,Home Office,Male,32,West,Clothing,Product B,2,3595,0.15,UPI,6111.5,1005.9451312000447
1042,2022-02-11,252,Consumer,Female,39,South,Clothing,Product A,2,1403,0.17,Cash,2328.98,329.95919132263157
1043,2022-02-12,291,Corporate,Female,38,South,Furniture,Product B,1,4470,0.2,UPI,3576.0,376.9430104619037
1044,2022-02-13,463,Corporate,Male,39,East,Clothing,Product A,4,3010,0.28,UPI,8668.8,1238.0264980692607
1045,2022-02-14,234,Home Office,Female,53,West,Electronics,Product A,5,3292,0.02,Card,16130.8,2258.4039843342084
1046,2022-02-15,405,Corporate,Male,51,North,Clothing,Product A,3,3244,0.01,Net Banking,9634.68,1606.5909615168937
1047,2022-02-16,280,Corporate,Male,47,West,Furniture,Product B,1,4873,0.05,Net Banking,4629.349999999999,492.16868404505976
1048,2022-02-17,249,Home Office,Female,42,West,Clothing,Product A,5,3714,0.3,Cash,12999.0,851.6829940215923
1049,2022-02-18,201,Consumer,Male,62,North,Electronics,Product B,5,1998,0.21,Cash,7892.1,623.6170843641487
1050,2022-02-19,253,Consumer,Female,45,West,Furniture,Product C,2,2775,0.18,Net Banking,4551.0,863.9412981163235
1051,2022-02-20,305,Consumer,Male,18,North,Clothing,Product A,3,344,0.01,Card,1021.68,55.679992668407806
